time,V1,V2,V3,I1,I2,I3
1.10015,14.5245316443163,-98.7830238227769,84.258492178588,-9350.30856724088,2937.28070001007,6413.02786722779
1.1002,16.1799210913645,-99.4045713448601,83.2246502536223,-9317.64963514567,2793.46947644007,6524.18015870256
1.10025,17.8315159225653,-100.001750257718,82.1702343352785,-9282.68514465022,2648.96418886565,6633.72095578151
1.1003,19.4789024808682,-100.574402374378,81.0954998936353,-9245.42364264651,2503.80034669986,6741.62329594355
1.10035,21.1216674638669,-101.122375791623,80.0007083278804,-9205.87423664451,2358.01362053813,6847.86061610327
1.1004,22.7593981159474,-101.64552500922,78.886126893396,-9164.04659244331,2211.63983359172,6952.40675884844
1.10045,24.3916824241894,-102.143711043049,77.7520286189829,-9119.95093170246,2064.71495310778,7055.23597859151
1.1005,26.0181093170903,-102.616801531452,76.5986922144838,-9073.59802941537,1917.27508177611,7156.32294763607
1.10055,27.6382688651634,-103.064670834185,75.4264019691439,-9024.99921128564,1769.35644912318,7255.64276215925
1.1006,29.251752482445,-103.487200123445,74.2354476411217,-8974.16635100759,1620.99540289341,7353.17094811094
1.10065,30.8581531279405,-103.884277466453,73.0261243386337,-8921.11186745143,1472.2284004178,7448.88346703036
1.1007,32.4570655060422,-104.255797899206,71.7987323932839,-8865.84872175366,1323.09199996983,7542.75672178055
1.10075,34.0480862649628,-104.60166349103,70.5535772261875,-8808.39041431282,1173.62285210852,7634.767562201
1.1008,35.6308141922469,-104.921783399682,69.2909692075538,-8748.75098169023,1023.85769100823,7724.89329067867
1.10085,37.2048504064523,-105.216073916774,68.0112235104398,-8686.94499341551,873.833325775107,7813.11166763706
1.1009,38.7697985441263,-105.484458503437,66.7146599594274,-8622.98754869613,723.586631749544,7899.40091694323
1.10095,40.3252649412485,-105.726867816141,65.4016028750087,-8556.89427302965,573.154541794279,7983.739731232
1.101,41.870858808359,-105.943239722736,64.072380914492,-8488.68131471775,422.574037567674,8066.10727714668
1.10105,43.4061923986546,-106.133519308795,62.7273269102538,-8418.36534127992,271.882140781557,8146.48320049495
1.1011,44.9308811683928,-106.297658874454,61.3667777061736,-8345.96353576553,121.115904443168,8224.84763131894
1.10115,46.4445439290221,-106.435617922,59.9910739930896,-8271.49359296166,-29.6875959193576,8301.18118887759
1.1012,47.9468029905267,-106.547363134521,58.6005601441049,-8194.97371549458,-180.491271048421,8375.46498653956
1.10125,49.4372842955566,-106.632868346003,57.1955840505556,-8116.42260982237,-331.25802676575,8447.68063658467
1.1013,50.9156175440004,-106.692114503328,55.7764969594358,-8035.859482116,-481.95077279886,8517.8102549114
1.10135,52.3814363077398,-106.725089620667,54.3436533130343,-7953.3040340259,-632.532431625463,8585.83646564789
1.1014,53.8343781354201,-106.731788726824,52.8974105915092,-7868.77645833149,-782.965947335871,8651.74240566389
1.10145,55.274084647155,-106.712213806125,51.4381291590748,-7782.29743447047,-933.214294513381,8715.51172898037
1.1015,56.7002016191797,-106.666373733505,49.9661721144284,-7693.8881239451,-1083.24048713238,8777.128611074
1.10155,58.1123790585497,-106.594284204435,48.4819051459877,-7603.57016560269,-1233.00758747375,8836.57775307295
1.1016,59.5102712680752,-106.495967660423,46.985696392449,-7511.36567078755,-1382.47871505684,8893.8443858409
1.10165,60.8935369017621,-106.371453210772,45.4779163091092,-7417.29721836178,-1531.61705558723,8948.9142739455
1.1017,62.2618390111115,-106.220776551344,43.9589375403308,-7321.38784959262,-1680.38586991894,9001.77371950806
1.10175,63.6148450827076,-106.043979881065,42.4291347984533,-7223.66106290427,-1828.74850302981,9052.40956593056
1.1018,64.9522270675945,-105.841111816886,40.8888847493862,-7124.14080849209,-1976.66839300817,9100.80920149675
1.10185,66.2736614030038,-105.612227307952,39.3385659050413,-7022.85148279815,-2124.10908004887,9146.96056284351
1.1019,67.578829027058,-105.357387549659,37.7785585226927,-6919.81792284629,-2271.03421545637,9190.85213829916
1.10195,68.8674153871232,-105.076659898308,36.2092445112748,-6815.06540043656,-2417.40757065218,9232.47297108523
1.102,70.139110442527,-104.770117787,34.6310073445611,-6708.61961619811,-2563.1930461838,9271.8126623784
1.10205,71.3936086623938,-104.437840643402,33.0442319810943,-6600.50669350082,-2708.35468073208,9308.8613742294
1.1021,72.6306090193789,-104.079913809966,31.4493047906717,-6490.75317222605,-2852.85666011334,9343.60983233589
1.10215,73.8498149800963,-103.69642846714,29.8466134871273,-6379.38600239725,-2996.66332627274,9376.04932866649
1.1022,75.0509344930517,-103.287481560059,28.236547067089,-6266.43253767183,-3139.73918626486,9406.1717239332
1.10225,76.233679974888,-102.853175729148,26.6194957543399,-6151.92052869596,-3282.0489212174,9433.96944990988
1.1023,77.3977682957503,-102.393619245025,24.9958509493538,-6035.87811632428,-3423.55739527359,9459.4355115944
1.10235,78.5429207645584,-101.90892594802,23.3660051835385,-5918.33382470721,-3564.22966450892,9482.56348921266
1.1024,79.6688631149562,-101.399215192555,21.7303520776744,-5799.31655424851,-3704.03098581745,9503.3475400625
1.10245,80.7753254926777,-100.864611796608,20.0892863040044,-5678.85557443635,-3842.92682576309,9521.782400196
1.1025,81.8620424450335,-100.305245996366,18.4432035514053,-5556.9805165515,-3980.88286939096,9537.86338593903
1.10255,82.9287529131816,-99.7212534061544,16.7925004930439,-5433.72136625621,-4117.86502899397,9551.58639524674
1.1026,83.9752002277958,-99.1127749836386,15.1375747559125,-5309.10845606809,-4253.83945282993,9562.9479088946
